名称,地址,经纬度,电话,省份,城市,区县,来源城市
小强美发工作室,安顺路126号,"123.935766,47.333141",13945254005,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
镜美造型(北方新天地店),正阳街道卜奎南大街18号北方新天地购物广场2楼B48号,"123.958959,47.340326",0452-6118880,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
首秀烫染沙龙(安顺路店),安顺路128号,"123.935845,47.333213",18704521670,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
尚艺美发沙龙(齐齐哈尔龙沙区),锦江阁1期东门南170米,"123.930585,47.333579",18204626613,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
永颜造型(绿溪桃源店),绿溪桃源北门新工路64号,"123.962117,47.326082",18745224422,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
玖悦发艺(民祥小区店),民航路422号民祥小区,"123.964563,47.317497",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
阿苹理容,丰恒小区41号楼,"123.947361,47.340191",13836241088,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
艺+美发(绿溪桃源店),绿溪桃源小区48号门市,"123.960895,47.326528",19917752233,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
铭阳发艺(民祥小区店),民祥小区44号楼,"123.963430,47.316782",13846211170,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
悦己美发(畅心园B区店),畅心园B区北门旁,"123.966505,47.325750",18946239131,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
氧发堂植物染发五福店(青云街店),青云街五福小区门市37号楼,"123.955083,47.331198",18245227755,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
郦达尔美业,龙沙小区1号楼1号,"123.959836,47.343252",0452-8097777,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
沐颜轻奢美发沙龙,金域名都31号楼00单元01层08号,"123.961999,47.301098",18045922895,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
滨之江发型,滨江国际一期商业街108号,"123.910837,47.316196",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
东风理发,斜阳街43号,"123.965679,47.343934",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
新风尚造型,源地街丰恒小区39号门市新风尚造型,"123.943536,47.339545",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
新尚发艺(金域名都小区店),金域名都二期,"123.964447,47.300058",18845292493,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
优理发型工作室(安顺电业小区店),安顺路87号,"123.937544,47.332620",18045285505,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
晓鑫发艺,青云街永裕小学对面,"123.955125,47.338704",13314654477,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
赵宇专业美发(安居小区北区店),南合意路合意安居小区2号楼iv区8号,"123.929615,47.330745",13796886633,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
动感美发工作室,园建街48号园艺小区23号楼101,"123.924431,47.347599",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
梵熙造型(顺意小区店),安顺路89-12号顺意小区,"123.930413,47.331616",15765046588,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
巷往造型,正阳街道安智14号楼102号底商,"123.965587,47.339652",17622814233,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
⑦barbershop男发馆,新化街与新化路交叉口南60米,"123.952977,47.336289",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
义威美发,斜阳街29号,"123.965546,47.343447",0452-2448660,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
尚品造型发艺美甲会馆(合意大街店),合意路128号,"123.932416,47.336393",13069998859,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
董军美发美业连锁,广厦云起溪上,"123.938425,47.328125",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
艺剪情美发(民祥小区店),民航路422号民祥小区,"123.963352,47.316229",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
星泽发型工作室,劳动路41号,"123.927190,47.349299",18646090680,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
佳丽美发(园建街店),工建北小区西2门北110米,"123.924915,47.347892",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
三多发艺(安居小区店),安居小区,"123.960375,47.334453",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
卡秀造型(民祥小区店),民航路422号民祥小区,"123.961233,47.318539",13846285594,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
尚艺公约美容美发旗舰店,燕山街与鹤城路交叉口西南160米,"123.964311,47.299672",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
柒染造型工作室,金典学苑1层2号,"123.960698,47.312684",17614049176,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
红狼造型,火店安居5号楼,"123.961454,47.338033",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
红梅美发(南苑小区店),南航街道亚麻厂一号楼红梅美发,"123.942323,47.315822",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
晓东专业染烫(阳光名宅店),阳光名宅25号楼-商服3号,"123.930776,47.346000",13946282345,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
萍鑫发艺(新宫小区科技楼店),新宫小区科技楼,"123.940708,47.336021",15946497885,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
格子浩美业(谊联名居店),新工路161号,"123.964860,47.326124",18249283221,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
大民美发,齐昂公路与为民路交叉口南180米,"123.911376,47.269040",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
发造型(龙兴嘉园店),园建街27号,"123.925374,47.344772",18804526455,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
沈钢子造型(新宫小区科技楼店),机关房产处2号楼1单元,"123.939325,47.336475",13504520007,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
约你发型工作室,谊联名居南门东十米,"123.963497,47.326328",18686949528,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
丝遇美发美甲美睫店,平阳街90号观景国际售楼对面,"123.965448,47.327362",18004522567,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
臻品美业尚美造型店,谊联名居1号楼00单元01层14号,"123.961661,47.326380",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
十七美业,广厦云起溪上东门西南260米,"123.938452,47.328064",13766558240,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
AC造型,新玛特北门00单元48号(北门第一家),"123.958135,47.342560",15214403321;16604521080;16640602340,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
AE造型113店,雄鹰南街65号火电小区,"123.960260,47.337273",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
发本造型,新合家园西门向南50米,"123.921548,47.320111",19013628181,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
剪爱发型设计,南市场小区8号楼对面,"123.962341,47.332442",0452-2689253,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
壹加美发沙龙,公园天下二期,"123.963610,47.294636",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
發裁造型Hair Salon,乐鹤公园二期21栋106号门市發裁造型Hair Salon,"123.956697,47.295089",15603628755,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
流行美美发沙龙(谊联名居店),新工路151号,"123.964378,47.326318",15604821116,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
泠京美发(锦江阁店),锦江阁3号门旁,"123.930475,47.335725",15946263356,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
红桃烫染设计理发店,红星小区53号楼01层02单元04号新乐街20号,"123.940142,47.335156",13763516778,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
发髻salon(北疆雅苑店),北疆雅苑北门西50米,"123.954758,47.322931",13104523070,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
私人染烫,龙北街与龙华路交叉口北60米,"123.968036,47.341869",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
九零美发沙龙,平阳街137号鹤乡新城小区,"123.965836,47.322862",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
皇冠发艺(奥悦华庭店),奥悦华庭,"123.942297,47.286327",13136631110,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
夕颜美容美发工作室(合意小区店),公安医院对面合意小区1号楼5单元,"123.934630,47.340990",18946238838,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
鹏祥发艺(纸厂小区店),造纸厂小区33号楼,"123.915969,47.319779",13945270839,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
田斌发艺人生(北方新天地店),北方新天地B座三门1208,"123.959056,47.340260",16221227777,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
lee造型,安居小区南区,"123.926356,47.325120",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
可心美业(南市场小区店),平阳街78号南市场小区,"123.963054,47.333356",13214520444,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
姐妹造型,南郊路与新立街交叉口西北380米,"123.915359,47.305653",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
超凡发艺,龙沙小区37号楼网点4号,"123.965907,47.345452",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
艺名美业,通达街新化小区7号楼1层17号,"123.949850,47.336164",13199661785,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
东城造型,平阳街与新工路交叉口东北40米,"123.965907,47.326355",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
5度专业烫染沙龙,[],"123.961190,47.326541",18745224005,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
金榜造型(文体一胡同),文体二胡同12号,"123.938761,47.337829",13604520973,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
彬美容工作室,通达街青云小区,"123.950616,47.332493",15904524201,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
金米莱美甲美睫工作室,龙沙小区15号楼00单元01层04号,"123.962489,47.343339",18814524466;19997527681,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
耿小豆美甲美睫工作室,紫金华府12-4-302,"123.967908,47.293974",13314661411,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
梅坊美容美体工作室(南市场小区店),南市场小区6号楼05单元01层01号,"123.961897,47.332622",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
兆涵指尖美学美甲美睫工作室,安智路32号,"123.966174,47.339924",15164652511,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
禄萱美睫工作室,文体街与安顺路辅路交叉口东北20米,"123.935525,47.333125",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
莹莹美容工作室,龙沙区一厂三宿舍小区319号楼17号,"123.936575,47.333133",13100825140,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
复古男士理发馆,龙沙小区10号楼00单元1层,"123.965173,47.342538",17645205456,黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
peng男士理发,育新小学校西南门西北60米,"123.964539,47.331428",[],黑龙江省,齐齐哈尔市,龙沙区,齐齐哈尔市
888发式琳(幸福家园店),文博街179号888,"123.423051,46.389772",15546263888,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
唯一美发美容会所,经典小区5号商服,"123.418984,46.393665",0452-8238678;13946260746,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
阿坤发艺店(聚洋购物中心店),建设路538号聚洋购物中心F1层,"123.419222,46.392857",13079658553,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
一佳发型工作室,泰来镇建新街一委五组广场星苑2号楼一层14号二层14号等2处,"123.416680,46.388783",13009735799,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
黑猫造型(电信小区店),文博街64号,"123.418175,46.388775",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
蓝色火焰轻奢美发沙龙(广安街店),广安街与宾馆路交叉口西北20米,"123.418849,46.396256",13845244222,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
埃菲尔造型,交通小区1号楼商服东数6号等2处,"123.417593,46.388673",18686966010,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
明威造型设计室,建设街一委五组(广场星苑1号楼),"123.416316,46.388881",13136619977,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
北方造型名店,人民医院斜对面,"123.418516,46.395894",13054309900,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
木北造型(墅公馆·悦居店),东风路436号墅公馆1号楼3号商服,"123.425204,46.397295",18301383746,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
玛雅造型染烫专业店(文博街店),幸福家园南门东130米,"123.422601,46.389701",13614626738,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
五贝子天然植物染发店,泰来镇步行街北门里走30米,"123.418228,46.391211",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
北方理容(清真街店),泰来镇人民医院斜对面,"123.420713,46.397278",13114666611,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
派艺美发(金御华庭店),金御华庭西北门西90米,"123.420898,46.399292",13796268236,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
三月倾城(建设路小区店),经集巷12号,"123.421082,46.393758",13134524143,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
一剪钟情美发,建设街一委八组(交通小区),"123.416443,46.388519",15245255442,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
张浩男士理发馆(一百小区店),铁东路54号一百小区,"123.414308,46.391273",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
天奇发型工作室(尚品家园店),湖滨路25正,"123.431827,46.396320",13763533108,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
燕京发艺(幸福家园店),幸福家园南门旁,"123.421528,46.389558",13763492324,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丽萍理发店,中央大街与汤池大街交叉口东140米,"123.768389,46.987331",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
柒月造型(建设路小区店),泰来镇百花北门24号,"123.421508,46.393725",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
艺冉造型,大兴镇中心街,"123.746173,46.877393",15561929229;18746279123,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
左手剪美发美甲,泰来镇光明街127新妇幼保健院对面教委3号楼,"123.422469,46.386852",13681516762,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
超美发型设计室,泰来镇教委3号楼,"123.422014,46.386810",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
飘雅美发,光明街111号,"123.422203,46.386836",13904828511,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
晶晶美发(万象丽景店),万象丽景北门西100米,"123.428627,46.395954",15214487001,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
首邦美发造型,大榆树乡首邦美发造型,"123.323770,46.521400",18245211253,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
首选造型(八一路店),泰来镇八一路农技推广中心楼下星期天火锅对面,"123.415075,46.386223",15214463234,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
时尚美发(金源街店),东风路333号,"123.423882,46.398866",18345295111,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
优尚美容美发(文博街店),文博街26号,"123.417014,46.388610",13351429998,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
酷美·造型(一百小区店),一百小区西南门北110米,"123.414308,46.391538",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
他她美发型设计中心,泰来镇铁东街一委二组,"123.413388,46.387361",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
天悦发型设计,金源街50号,"123.419650,46.399229",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
艺尚美发(泰来县农机小区店),益民街与建设路交叉口西80米,"123.418915,46.379885",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
标典美发工作室(阳光小区店),阳光小区建设路1128号,"123.420729,46.397748",16743655559,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
壹+美发空间,金碧花园小区13号楼1226号,"123.420592,46.401668",13136726303,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
希唯美容美发,大兴镇明珠小区,"123.748376,46.877971",13763533641,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
金源发艺(金源名都店),泰来镇金源名都西门,"123.427330,46.399122",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
阿飞先生美发沙龙工作室(交通局店),文博街与八一路交叉路口西50米,"123.414330,46.388267",13845228419;13845276663,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
百分百造型(文博街店),泰来镇交通局楼下,"123.414772,46.388267",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
9°造型,泰来镇卫星街五委六组金域华庭18号楼1-2层商服3号,"123.420736,46.398707",18814626363,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
杨艺发型设计,经集巷14号,"123.421210,46.393769",15145311178,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
发型天下,文博街89号,"123.418734,46.389199",15046261678,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
喜理发型工作室,文博街,"123.417672,46.388935",15145263211,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
秋磊理发,利百群医药南侧,"123.063412,46.609512",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丑小鸭美发,泰来镇文博街76号,"123.418579,46.388810",18249293616,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
畅悦发型设计,文博街22号,"123.416706,46.388555",15946226399,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
发之意美容美发(欧洲小镇店),欧洲小镇单行道道南,"123.426234,46.389880",15946527220,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丽锦美发(文博街店),八一路161-7号,"123.414705,46.388284",13351622208,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
顶点发艺(丰泰家园店),土地局楼下,"123.424409,46.390690",18249296115,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
理享造型,东风路202号,"123.424008,46.400166",18603622774,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
剪约美发(墅公馆·悦居店),民族街与飞鹤大道交叉口西南40米,"123.426392,46.397436",15946289567,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
将军美发厅,086乡道与抗战路交叉口西北200米,"123.681560,46.773119",15045201990,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
红姐造型,建设路与金源街交叉口南140米,"123.420082,46.398215",13796847518,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
芷间美业,建设路517号,"123.420110,46.395471",18746279291,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
畅响发型设计(步行街东店),建设路281-21号步行街(兴达购物广场南),"123.419076,46.390678",13845258787,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
鑫艾丝造型,建设路538号聚洋购物中心后门隔壁,"123.419221,46.393114",15214482139,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丁丁时尚美发(欧洲小镇店),欧洲小镇南区西门北130米,"123.425709,46.389072",15946226707,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
理享造型,和平镇长青村兴和路与新兴街交叉口东330米,"123.148728,46.520223",15734527593,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
雅美丝烫染店,泰来镇指教中心对面,"123.420339,46.376215",13314653678,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
多米造型(文博街店),文博街51号,"123.417670,46.389035",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
SHAIRSALON轻奢.私人发型定制,中央街203号,"123.427979,46.390806",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
钱雨美容美发,平洋镇,"123.542689,46.602991",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
他她美专业发型设计(丰泰家园),丰泰家园北数第7门市,"123.423539,46.390208",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
星辰轻奢造型,电信公寓南门旁,"123.418109,46.389093",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
超级美发设计,泰来镇金源街56号,"123.420102,46.399900",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
独品形象管理中心,G111(京加线),"123.538849,46.599242",18846336397,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
妙恋发艺,泰来镇太来交通局家属小区,"123.414300,46.388267",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
天美造型(振兴路店),振兴路与建设路交叉口东40米,"123.420767,46.387764",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丽艳美发(丰泰家园店),泰来镇中央街土地局楼下,"123.424409,46.390695",18746270588,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
李洋美容美发SPA养生会馆,平洋镇,"123.543318,46.603864",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
天鹅美发厅(建设路小区店),泰来镇东风路369号,"123.423740,46.394325",15344617668,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
剪单美发,职教中心东门南110米,"123.419825,46.375425",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
蓝天美容美发(中央街),步行街(兴达购物广场南),"123.418467,46.390600",18686981116,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
维真国际美发半永久定妆(金域华府店),建设路阳光小区538号,"123.418975,46.397725",18946214326,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
浪涛美业,八一路与中央街交叉口东南60米,"123.415670,46.391519",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
心一·美发造型店,万象丽景南门西70米,"123.429064,46.394440",13069631511,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
嘉音发型工作室,泰来县交通局旁边嘉音发型工作室,"123.415029,46.388211",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
美神美发(油米厂小区店),泰来镇龙阳嘉苑一号楼(油米厂),"123.412839,46.378675",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
金剪时光美业(金碧花园店),建设路627号金碧花园,"123.421483,46.399846",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
思美发廊,泰来镇技工学校南,"123.419780,46.375794",15174163286;15174613286,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
黄艳美发,313省道与084乡道交叉口东140米,"123.323161,46.521260",15046240320,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
潮艺造型,老客运站出站口,"123.415686,46.387603",18845250250,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
米莱造型,金源名都北门西160米,"123.426886,46.399967",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
格色风发艺(万象丽景C区店),万象丽景C区,"123.427968,46.397646",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
概念造型,江桥镇园丁一号楼概念造型,"123.682287,46.772037",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
顺眼造型(幸福家园店),幸福家园南门旁,"123.421644,46.389572",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
南丹妮湾美发会馆,八一路泰来客运站,"123.415665,46.388367",15590805789,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
阿峰美发,中央大街3号,"123.766248,46.987132",17124155558,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
世纪美发厅,泰来县第四中学东北门旁,"123.420837,46.374386",18714736711,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
上喜·烫染(欧洲小镇店),欧洲小镇,"123.426822,46.389937",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
美约形象设计,江桥园丁二号楼,"123.682749,46.771099",15004521660,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
鼎扬沙龙(幸福家园店),文博街141号,"123.421947,46.389603",13466718286,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
繁锦造型(中央名城店),电业路与金源街交叉口东南40米,"123.425582,46.399703",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
金太阳发型室(金御华庭店),金御华庭东门旁,"123.424262,46.397710",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
丝源·造型,光明街与振兴路交叉口东北40米,"123.421491,46.386749",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
萍萍私人形象设计工作室,经集巷与建设路交叉口东100米,"123.421535,46.394079",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
东阁造型,塔子城镇东北街,"123.063612,46.609909",18714736936,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
雅美丝造型设计,光明街与振兴路交叉口东80米,"123.422071,46.386800",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
创意发廊(文博街店),文博街63号,"123.418014,46.389078",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
锦尚美发设计,泰来镇湖畔新城5号楼12号车库,"123.429899,46.384943",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
靓雅发艺(鑫苑小区店),鑫苑小区,"123.417474,46.404751",15545687234,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
阳光发型设计(丰泰家园店),丰泰家园,"123.424335,46.390695",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
王子发型设计(铁东路),铁东路与文博街交叉口西南100米,"123.413423,46.387587",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
非凡造型(一百小区店),一百小区西南门旁,"123.414333,46.390923",13763499870,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
伊维诺造型设计(幸福家园店),泰来镇先锋街一委九组,"123.422128,46.389614",0452-8225188;15214481008;18746246969,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
Z坤美发(聚洋购物中心店),建设路538号聚洋购物中心,"123.419227,46.392825",13149573228,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
八佰伴美发造型沙龙,泰来镇汽车厂六号楼对面,"123.417250,46.404738",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
新亮典发型设计(名仕花苑店),名仕花苑北门旁,"123.421222,46.395963",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
天艺美发(振兴路店),泰来镇建设路地税局家属楼道南,"123.420511,46.383537",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
小刚·发型工作室(万象丽景店),万象丽景北门西北90米,"123.428916,46.396342",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
潇雅发型设计(八一路店),八一路432号,"123.415770,46.394220",15636235156,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
平范店(禾),聚洋后面,"123.418972,46.392648",15110108695,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
于琦美发,和平镇,"123.150688,46.520623",15214488860,黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
含笑发廊,建设路320号,"123.420435,46.382728",[],黑龙江省,齐齐哈尔市,泰来县,齐齐哈尔市
